Player,Position,Price,Year,Owner
Cameron Meredith,WR,1,2018,Sirpi
Corey Clement,RB,1,2018,Sirpi
Latavius Murray,RB,1,2018,Sirpi
Aaron Jones,RB,1,2018,Sirpi
Russell Wilson,QB,11,2018,Badillo
LeVeon Bell,RB,64,2018,Badillo
LeSean McCoy,RB,31,2018,Badillo
Josh Gordon,WR,20,2018,Badillo
Marvin Jones,WR,14,2018,Badillo
Tevin Coleman,RB,13,2018,Badillo
Travis Kelce,TE,20,2018,Badillo
Greg Zuerlein,K,5,2018,Badillo
Corey Davis,WR,9,2018,Badillo
Jordy Nelson,WR,1,2018,Badillo
Will Fuller,WR,4,2018,Badillo
LeGarrette Blount,RB,1,2018,Badillo
James Conner,RB,1,2018,Badillo
Lamar Jackson,QB,1,2019,Naki
Chris Carson,RB,30,2019,Naki
James Conner,RB,51,2019,Naki
Julio Jones,WR,55,2019,Naki
Dante Pettis,WR,1,2019,Naki
Kerryon Johnson,RB,35,2019,Naki
OJ Howard,TE,11,2019,Naki
Justin Tucker,K,4,2019,Naki
David Njoku,TE,6,2019,Naki
N'Keal Harry,WR,1,2019,Naki
Kallen Ballage,RB,1,2019,Naki
Rashaad Penny,RB,1,2019,Naki
DeDe Westbrook,WR,1,2019,Naki
Tom Brady,QB,1,2019,Naki
Matt Ryan,QB,1,2019,Alec
Dalvin Cook,RB,46,2019,Alec
Nick Chubb,RB,53,2019,Alec
Antonio Brown,WR,38,2019,Alec
Adam Thielen,WR,12,2019,Alec
TY Hilton,WR,32,2019,Alec
Hunter Henry,TE,10,2019,Alec
Robbie Gould,K,1,2019,Alec
Christian Kirk,WR,1,2019,Alec
Miles Sanders,RB,1,2019,Alec
Kareem Hunt,RB,1,2019,Alec
Royce Freeman,RB,1,2019,Alec
Ronald Jones,RB,1,2019,Alec
Ito Smith,RB,1,2019,Alec
Kyler Murray,QB,2,2019,Mount
Sony Michel,RB,22,2019,Mount
Damien Williams,RB,28,2019,Mount
JuJu Smith-Schuster,WR,52,2019,Mount
Cooper Kupp,WR,14,2019,Mount
Julian Edelman,WR,9,2019,Mount
Evan Engram,TE,7,2019,Mount
Greg Zuerlein,K,11,2019,Mount
Stefon Diggs,WR,16,2019,Mount
Austin Ekeler,RB,4,2019,Mount
DeShaun Watson,QB,6,2019,Mount
David Montgomery,RB,8,2019,Mount
Chris Godwin,WR,8,2019,Mount
Tevin Coleman,RB,10,2019,Mount
Jameis Winston,QB,4,2019,Babcock
Leonard Fournette,RB,39,2019,Babcock
Ezekiel Elliott,RB,50,2019,Babcock
DK Metcalf,WR,2,2019,Babcock
Robert Woods,WR,5,2019,Babcock
Todd Gurley,RB,51,2019,Babcock
Jimmy Graham,TE,1,2019,Babcock
Stephen Gostkowski,K,2,2019,Babcock
Mark Ingram,RB,17,2019,Babcock
Cam Newton,QB,4,2019,Babcock
LeSean McCoy,RB,7,2019,Babcock
AJ Green,WR,8,2019,Babcock
Robby Anderson,WR,4,2019,Babcock
Matt Breida,RB,2,2019,Babcock
Andrew Luck,QB,8,2019,Casey
Saquon Barkley,RB,69,2019,Casey
Phillip Lindsay,RB,6,2019,Casey
Mike Evans,WR,46,2019,Casey
Tyreek Hill,WR,46,2019,Casey
James White,RB,9,2019,Casey
Eric Ebron,TE,4,2019,Casey
Wil Lutz,K,2,2019,Casey
Aaron Rodgers,QB,1,2019,Casey
Josh Gordon,WR,2,2019,Casey
Donte Moncrief,WR,1,2019,Casey
Darwin Thompson,RB,1,2019,Casey
Curtis Samuel,WR,1,2019,Casey
Peyton Barber,RB,1,2019,Casey
Jared Goff,QB,3,2019,Jordan
Melvin Gordon,RB,37,2019,Jordan
LeVeon Bell,RB,52,2019,Jordan
Michael Thomas,WR,50,2019,Jordan
Amari Cooper,WR,21,2019,Jordan
Derrick Henry,RB,21,2019,Jordan
Austin Hooper,TE,2,2019,Jordan
Ka'imi Fairbairn,K,1,2019,Jordan
Calvin Ridley,WR,2,2019,Jordan
Kenyan Drake,RB,2,2019,Jordan
Jared Cook,TE,2,2019,Jordan
Adrian Peterson,RB,2,2019,Jordan
Sammy Watkins,WR,1,2019,Jordan
Alshon Jeffery,WR,1,2019,Jordan
Baker Mayfield,QB,5,2019,Oatman
Derrius Guice,RB,1,2019,Oatman
Joe Mixon,RB,46,2019,Oatman
DeAndre Hopkins,WR,58,2019,Oatman
Odell Beckham Jr.,WR,54,2019,Oatman
Golden Tate,WR,2,2019,Oatman
Delanie Walker,TE,1,2019,Oatman
Adam Vinatieri,K,1,2019,Oatman
Brandin Cooks,WR,26,2019,Oatman
Jordan Howard,RB,1,2019,Oatman
Tarik Cohen,RB,1,2019,Oatman
Marvin Jones,WR,1,2019,Oatman
Corey Davis,WR,1,2019,Oatman
Sterling Shepard,WR,1,2019,Oatman
Patrick Mahomes,QB,17,2019,Kooper
Alvin Kamara,RB,70,2019,Kooper
Latavius Murray,RB,1,2019,Kooper
Will Fuller,WR,1,2019,Kooper
Jarvis Landry,WR,1,2019,Kooper
George Kittle,TE,30,2019,Kooper
Travis Kelce,TE,39,2019,Kooper
Brett Maher,K,1,2019,Kooper
Zach Ertz,TE,34,2019,Kooper
Dion Lewis,RB,1,2019,Kooper
Darrell Henderson,RB,1,2019,Kooper
Jamaal Williams,RB,1,2019,Kooper
Jalen Richard,RB,1,2019,Kooper
Philip Rivers,QB,1,2019,Sirpi
Christian McCaffrey,RB,70,2019,Sirpi
Josh Jacobs,RB,33,2019,Sirpi
Tyler Lockett,WR,16,2019,Sirpi
Keenan Allen,WR,30,2019,Sirpi
Vance McDonald,TE,1,2019,Sirpi
Marlon Mack,RB,27,2019,Sirpi
Mike Badgley,K,1,2019,Sirpi
Lamar Miller,RB,8,2019,Sirpi
DJ Moore,WR,8,2019,Sirpi
Tony Pollard,RB,1,2019,Sirpi
Russell Wilson,QB,1,2019,Sirpi
Justice Hill,RB,1,2019,Sirpi
Noah Fant,TE,1,2019,Sirpi
Carson Wentz,QB,4,2019,Badillo
David Johnson,RB,54,2019,Badillo
Devonta Freeman,RB,33,2019,Badillo
Davante Adams,WR,57,2019,Badillo
Tyler Boyd,WR,10,2019,Badillo
Aaron Jones,RB,31,2019,Badillo
Jordan Reed,TE,1,2019,Badillo
Harrison Butker,K,1,2019,Badillo
Kenny Golladay,WR,3,2019,Badillo
Jaylen Samuels,RB,1,2019,Badillo
Jack Doyle,TE,1,2019,Badillo
Nelson Agholor,WR,1,2019,Badillo
Marquez Valdes-Scantling,WR,1,2019,Badillo
